ID,Name,Kategorie,Basis_g,Zutat,Prozent,Typ,Allergen,Hinweis,Anweisung
Gallo-Rizo-Patties,Burgerpatties Gallo-Rizo,Patties,"10.000,00",RII (Rindfleisch mager),"70,00",base,FALSE,0° bis 2° C,"Schritt 1: Das Wein-Infusions-Setup

Mische alle trockenen Gewürze (außer das Salz) direkt in den Rotwein. Lasse diese Mischung ca. 10 Minuten ziehen.

Schritt 2: Präzisions-Wolfen

Das Fleisch (R II) und das Fett (R IV) auf -1°C bis 0°C kühlen. Gemeinsam durch die 5mm Scheibe wolfen. -Warnung: Bei 27 % Fettanteil führt jede Wärme sofort zum „Talg-Effekt“ an den Messern. Arbeite zügig.

Schritt 3: Mengen & Struktur

Fleischmasse, Meersalz und Wein-Infusion vermengen.

Mengen: Nur so lange, bis eine leichte Bindung entsteht. Die Struktur muss grobkörnig bleiben.

Hobby-Tipp: Nutze Einweg-Handschuhe über Textil-Handschuhen, um die Fleischmasse vor deiner Körperwärme zu isolieren.

Schritt 4: Formen

Portionieren und in der Presse formen. Drücke mit dem Daumen eine Mulde in die Mitte.

Haltbarkeit & Lagerung

Geflügel und Frischfleisch mit Wein sind mikrobiologisch hochaktiv:

Frisch: Maximal 12 Stunden bei < 4°C.

Vakuumiert: Gekühlt max. 2 Tage.

Tiefgekühlt: Im Vakuum bei -18°C bis zu 3 Monate. (Fettreiches Rindfleisch neigt bei Frost nach 4-6 Monaten zur Oxidation)."
Gallo-Rizo-Patties,Burgerpatties Gallo-Rizo,Patties,"10.000,00",RIV (Rindfleisch fett/Abschnitte),"27,00",base,FALSE,0° bis 2° C,
Gallo-Rizo-Patties,Burgerpatties Gallo-Rizo,Patties,"10.000,00",Rotwein,"3,00",spice,TRUE,SULFITE,
Gallo-Rizo-Patties,Burgerpatties Gallo-Rizo,Patties,"10.000,00",Meersalz fein,"2,00",spice,FALSE,,
Gallo-Rizo-Patties,Burgerpatties Gallo-Rizo,Patties,"10.000,00",Paprika edelsüß,"1,50",spice,FALSE,,
Gallo-Rizo-Patties,Burgerpatties Gallo-Rizo,Patties,"10.000,00",Pfeffer weiß gemahlen,"0,20",spice,FALSE,,
Gallo-Rizo-Patties,Burgerpatties Gallo-Rizo,Patties,"10.000,00",Knoblauchflocken,"0,20",spice,FALSE,,
Gallo-Rizo-Patties,Burgerpatties Gallo-Rizo,Patties,"10.000,00",Chili gemahlen,"0,20",spice,FALSE,,
Gallo-Rizo-Patties,Burgerpatties Gallo-Rizo,Patties,"10.000,00",Cayenne,"0,20",spice,FALSE,,
Gallo-Rizo-Patties,Burgerpatties Gallo-Rizo,Patties,"10.000,00",Koriander,"0,15",spice,FALSE,,
,,,,,,,,,
G-Patties,Burgerpatties vom Galloway (G-Patties),Patties,"10.000,00",Rindfleisch II (mager),"70,00",base,FALSE,0° bis 2° C,"Schritt 1: Die Zitronen-Infusion

Mische den Zitronensaft mit dem eiskalten Wasser und den trockenen Gewürzen (Thymian, Pfeffer, Paprika, Muskat). Das Wasser dient als homogener Trägerstoff für die Säure. Das Salz bleibt separat.

Schritt 2: Präzisions-Wolfen

Das Fleisch (R II) und das Fett (R IV) auf -1°C bis 0°C kühlen. Gemeinsam durch die 5mm Scheibe wolfen. Achte penibel auf die Schärfe der Messer – ein „Schmieren“ würde die Optik dieses helleren Pattys sofort ruinieren.

Schritt 3: Mengen & Struktur

Fleischmasse, Meersalz und die Zitronen-Infusion vermengen.

Mengen: Nur so lange, bis eine leichte Bindung entsteht. Der Beef-o-Pure verzeiht zu langes Mengen weniger als der würzige Beef-o-Rizo, da die Kräuterstruktur sichtbar bleiben soll.

Hobby-Tipp: Wenn du keine Patty-Presse hast, nutze einen großen Servierring und drücke die Masse nur leicht fest.

Schritt 4: Formen

Portionieren (empfohlen: 150g) und mittig die obligatorische Mulde eindrücken.

Haltbarkeit & Lagerung

Die Säure der Zitrone kann das Fleisch oberflächlich leicht „hell“ färben, das ist ein natürlicher Prozess (Denaturierung):

Frisch: Maximal 12 Stunden bei < 2°C.

Vakuumiert: Gekühlt max. 2 Tage.

Tiefgekühlt: Im Vakuum bei -18°C bis zu 3 Monate."
G-Patties,Burgerpatties vom Galloway (G-Patties),Patties,"10.000,00",Rindfleisch IV (fett),"27,00",base,FALSE,0° bis 2° C,
G-Patties,Burgerpatties vom Galloway (G-Patties),Patties,"10.000,00",Meersalz fein,"2,00",spice,FALSE,,
G-Patties,Burgerpatties vom Galloway (G-Patties),Patties,"10.000,00",Zitronensaft,"0,25",spice,FALSE,mit Wasser mischen,
G-Patties,Burgerpatties vom Galloway (G-Patties),Patties,"10.000,00",eiskaltes Wasser,"2,75",spice,FALSE,mit Zitronensaft mischen,
